Epoch,Step,Total,CE,feat
47,20,1.6328125,1.6328125,
47,30,1.5625,1.5625,
47,40,1.6015625,1.6015625,
47,50,1.7265625,1.7265625,
47,60,1.5703125,1.5703125,
47,70,1.4453125,1.4453125,
47,80,1.8828125,1.8828125,
47,90,1.7421875,1.7421875,
47,100,1.6171875,1.6171875,
47,110,1.4453125,1.4453125,
48,0,2.046875,2.046875,
48,10,1.546875,1.546875,
48,20,1.453125,1.453125,
48,30,1.609375,1.609375,
48,40,1.484375,1.484375,
48,50,1.21875,1.21875,
48,60,1.5859375,1.5859375,
48,70,1.296875,1.296875,
48,80,1.59375,1.59375,
48,90,1.4921875,1.4921875,
48,100,1.3359375,1.3359375,
48,110,1.453125,1.453125,
49,0,1.7421875,1.7421875,
49,10,1.578125,1.578125,
49,20,1.46875,1.46875,
49,30,1.421875,1.421875,
49,40,1.3046875,1.3046875,
49,50,1.2734375,1.2734375,
49,60,1.5703125,1.5703125,
49,70,1.5,1.5,
49,80,1.6796875,1.6796875,
49,90,1.5078125,1.5078125,
49,100,1.6875,1.6875,
49,110,1.3359375,1.3359375,
50,0,1.5703125,1.5703125,
50,10,1.296875,1.296875,
50,20,1.1640625,1.1640625,
50,30,1.28125,1.28125,
50,40,1.25,1.25,
50,50,1.28125,1.28125,
50,60,1.171875,1.171875,
50,70,1.15625,1.15625,
50,80,1.40625,1.40625,
50,90,1.3046875,1.3046875,
50,100,1.3984375,1.3984375,
50,110,1.2421875,1.2421875,
51,0,1.578125,1.578125,
51,10,1.0625,1.0625,
51,20,1.140625,1.140625,
51,30,1.328125,1.328125,
51,40,1.0546875,1.0546875,
51,50,0.96875,0.96875,
51,60,1.0234375,1.0234375,
51,70,0.984375,0.984375,
51,80,1.015625,1.015625,
51,90,1.1640625,1.1640625,
51,100,1.0703125,1.0703125,
51,110,1.0546875,1.0546875,
52,0,1.4765625,1.4765625,
52,10,1.140625,1.140625,
52,20,0.98046875,0.98046875,
52,30,0.8828125,0.8828125,
52,40,0.9140625,0.9140625,
